frame_number,landmark,x,y,z
0,LEFT_HEEL,0.5783666372299194,2.352452516555786,0.5476599335670471
0,RIGHT_HEEL,0.3664814829826355,2.3506929874420166,0.34093502163887024
0,LEFT_FOOT_INDEX,0.5431371927261353,2.422710418701172,0.15868757665157318
0,RIGHT_FOOT_INDEX,0.4092694818973541,2.4293441772460938,-0.11160896718502045
1,NOSE,0.49090808629989624,0.4084068536758423,-0.7683258652687073
1,LEFT_EYE_INNER,0.5115804076194763,0.36251118779182434,-0.7192502021789551
1,LEFT_EYE,0.5227742791175842,0.36457815766334534,-0.7192237377166748
1,LEFT_EYE_OUTER,0.5349084734916687,0.3670242130756378,-0.7193675637245178
1,RIGHT_EYE_INNER,0.4705355167388916,0.3607669770717621,-0.732402503490448
1,RIGHT_EYE,0.45565563440322876,0.3612402081489563,-0.7322458028793335
1,RIGHT_EYE_OUTER,0.4429326355457306,0.36215153336524963,-0.7326376438140869
1,LEFT_EAR,0.55244380235672,0.39217808842658997,-0.39764878153800964
1,RIGHT_EAR,0.42097511887550354,0.3863179385662079,-0.44927123188972473
1,MOUTH_LEFT,0.5124337077140808,0.4600383937358856,-0.6483644843101501
1,MOUTH_RIGHT,0.4596935212612152,0.4584677815437317,-0.6631212830543518
1,LEFT_SHOULDER,0.6604206562042236,0.6662923693656921,-0.19013428688049316
1,RIGHT_SHOULDER,0.30448484420776367,0.6417450308799744,-0.35475918650627136
1,LEFT_ELBOW,0.7377089262008667,0.985853374004364,-0.10024519264698029
1,RIGHT_ELBOW,0.2211378961801529,0.9771488308906555,-0.42696699500083923
1,LEFT_WRIST,0.7928330898284912,1.298736810684204,-0.3152664601802826
1,RIGHT_WRIST,0.16939647495746613,1.2508642673492432,-0.8746944069862366
1,LEFT_PINKY,0.8503217697143555,1.3817634582519531,-0.374815970659256
1,RIGHT_PINKY,0.13977983593940735,1.3305543661117554,-0.9733647704124451
1,LEFT_INDEX,0.8193792104721069,1.389632225036621,-0.4419744908809662
1,RIGHT_INDEX,0.1769288033246994,1.3341869115829468,-1.0576914548873901
1,LEFT_THUMB,0.7949735522270203,1.3586094379425049,-0.3549501895904541
1,RIGHT_THUMB,0.19441527128219604,1.3058457374572754,-0.9242050647735596
1,LEFT_HIP,0.5857009887695312,1.3180416822433472,-0.00254409690387547
1,RIGHT_HIP,0.3495612144470215,1.320677399635315,0.00599168986082077
1,LEFT_KNEE,0.5780074596405029,1.8337209224700928,0.03429250791668892
1,RIGHT_KNEE,0.3584177792072296,1.8428728580474854,0.01592094637453556
1,LEFT_ANKLE,0.5723519325256348,2.3049063682556152,0.5365540981292725
1,RIGHT_ANKLE,0.3665464520454407,2.2998688220977783,0.36777642369270325
1,LEFT_HEEL,0.5761605501174927,2.3808913230895996,0.5602596998214722
1,RIGHT_HEEL,0.36125561594963074,2.3707473278045654,0.38853728771209717
1,LEFT_FOOT_INDEX,0.542298436164856,2.447476387023926,0.1393018215894699
1,RIGHT_FOOT_INDEX,0.4075469970703125,2.446789264678955,-0.11104512959718704
2,NOSE,0.49095675349235535,0.4084823429584503,-0.8109989762306213
2,LEFT_EYE_INNER,0.5115683078765869,0.3627331256866455,-0.7583233118057251
2,LEFT_EYE,0.5227634906768799,0.36479514837265015,-0.7583491802215576
2,LEFT_EYE_OUTER,0.5349088907241821,0.36722880601882935,-0.7584890723228455
2,RIGHT_EYE_INNER,0.47049763798713684,0.3610125482082367,-0.7736467719078064
2,RIGHT_EYE,0.4556500315666199,0.36154627799987793,-0.7735092639923096
2,RIGHT_EYE_OUTER,0.4428849220275879,0.3624657690525055,-0.7739579677581787
2,LEFT_EAR,0.5522156357765198,0.39231806993484497,-0.41569647192955017
2,RIGHT_EAR,0.42065268754959106,0.38653090596199036,-0.4758133590221405
2,MOUTH_LEFT,0.5124186277389526,0.4604026675224304,-0.6828487515449524
2,MOUTH_RIGHT,0.4598119854927063,0.45867469906806946,-0.7001702785491943
2,LEFT_SHOULDER,0.6610792875289917,0.6661190986633301,-0.1851760894060135
