frame,landmark,distance_me_vs_me2,distance_me_vs_me3,distance_me2_vs_me3
2,LEFT_ELBOW,0.32016080772148653,0.30118276879962114,0.057296052655942356
2,LEFT_EYE,0.027478174379499856,0.1609248864872108,0.13876399332176909
2,LEFT_EYE_INNER,0.028713567704578235,0.16086322032386394,0.13857789723125824
2,LEFT_EYE_OUTER,0.0271168290958383,0.16134443669554208,0.13870453021971135
2,LEFT_FOOT_INDEX,0.13962660458584303,0.07936548995773461,0.12155188704420569
2,LEFT_HEEL,0.13636878104549205,0.11748599977583166,0.20834532152450533
2,LEFT_HIP,0.04231929834684836,0.02228293715560533,0.04027797031233312
2,LEFT_INDEX,1.0985442238198595,0.9590484645051766,0.16186776790776114
2,LEFT_KNEE,0.09878952768805783,0.06576514822608069,0.09241314515667928
2,LEFT_PINKY,1.136644818518692,0.99640022516906,0.18037784204892385
